sci_name;common_name;ebird_code;class;order;in_v2;in_v3;label_af;label_ar;label_cs;label_da;label_de;label_en;label_en_uk;label_es;label_fi;label_fr;label_hu;label_it;label_ja;label_ko;label_nl;label_no;label_pl;label_pt;label_ro;label_ru;label_sk;label_sl;label_sv;label_th;label_tr;label_uk;label_zh
Abeillia abeillei;Emerald-chinned Hummingbird;emchum1;Aves;Apodiformes;False;True;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird
Abroscopus albogularis;Rufous-faced Warbler;rufwar1;Aves;Passeriformes;True;True;Rufous-faced Warbler;Rufous-faced Warbler;Rufous-faced Warbler;Rufous-faced Warbler;Rostwangen-Dickichtsänger;Rufous-faced Warbler;Rufous-faced Warbler;Mosquitero Carirrufo;Rufous-faced Warbler;Bouscarle à moustaches;Rufous-faced Warbler;Rufous-faced Warbler;コシジロムシクイ;Rufous-faced Warbler;Roodwangboszanger;rustmaskesanger;skrytoczub rdzawolicy;Rufous-faced Warbler;Rufous-faced Warbler;Рыжещёкая комарница;pradešan červenolíci;Rufous-faced Warbler;Rostkindad cettia;นกกระจ้อยคอดำ;Kızıl Yüzlü Ötleğen;Війчик рудощокий;棕面鶯
Abroscopus schisticeps;Black-faced Warbler;blfwar1;Aves;Passeriformes;True;True;Black-faced Warbler;Black-faced Warbler;Black-faced Warbler;Black-faced Warbler;Schieferkopf-Dickichtsänger;Black-faced Warbler;Black-faced Warbler;Mosquitero Carinegro;Black-faced Warbler;Bouscarle à face noire;Black-faced Warbler;Black-faced Warbler;カオグロムシクイ;Black-faced Warbler;Zwartmaskerboszanger;svartmaskesanger;skrytoczub ciemnolicy;Black-faced Warbler;Black-faced Warbler;Чернолицая комарница;pradešan čiernolíci;Black-faced Warbler;Svartkindad cettia;Black-faced Warbler;Siyah Yüzlü Ötleğen;Війчик чорнощокий;Black-faced Warbler
Abroscopus superciliaris;Yellow-bellied Warbler;yebwar1;Aves;Passeriformes;True;True;Yellow-bellied Warbler;Yellow-bellied Warbler;Yellow-bellied Warbler;Yellow-bellied Warbler;Bambusdickichtsänger;Yellow-bellied Warbler;Yellow-bellied Warbler;Mosquitero Cejiblanco;Yellow-bellied Warbler;Bouscarle à sourcils blancs;Yellow-bellied Warbler;Yellow-bellied Warbler;マミジロムシクイ;Yellow-bellied Warbler;Bamboeboszanger;hvitbrynsanger;skrytoczub białobrewy;Yellow-bellied Warbler;Yellow-bellied Warbler;Желтобрюхая комарница;pradešan bambusový;Yellow-bellied Warbler;Gulbukig cettia;นกกระจ้อยคอขาว;Sarı Karınlı Ötleğen;Війчик білобровий;Yellow-bellied Warbler
Aburria aburri;Wattled Guan;watgua1;Aves;Galliformes;True;True;Wattled Guan;Wattled Guan;guan aburri;Wattled Guan;Lappenguan;Wattled Guan;Wattled Guan;Pava Aburria;Wattled Guan;Pénélope aburri;Wattled Guan;Wattled Guan;ニクダレシャクケイ;Wattled Guan;Lelgoean;gulflikhokko;grdacz soplowaty;Wattled Guan;Wattled Guan;Серёжчатый гуан;morkovec lalôčkový;Wattled Guan;Flikguan;Wattled Guan;Küpeli Guan;Абурі;Wattled Guan
Acanthagenys rufogularis;Spiny-cheeked Honeyeater;spchon1;Aves;Passeriformes;True;True;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Braunkehl-Honigfresser;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Mielero Golicanelo;Spiny-cheeked Honeyeater;Méliphage à bavette;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;ケミミミツスイ;Spiny-cheeked Honeyeater;Goudkeelhoningeter;rosennebbhonningeter;kolcoliczek;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Розовоклювый серёжкоух;medárik hnedohrdlý;Spiny-cheeked Honeyeater;Rosanäbbad honungsfågel;Spiny-cheeked Honeyeater;Diken Yanaklı Balkuşu;Медолюб-дзвіночок;Spiny-cheeked Honeyeater
Acanthidops bairdi;Peg-billed Finch;pebfin1;Aves;Passeriformes;True;True;Peg-billed Finch;Peg-billed Finch;Peg-billed Finch;Peg-billed Finch;Vulkanammertangare;Peg-billed Finch;Peg-billed Finch;Yal Costarricense;Peg-billed Finch;Bec-en-cheville gris;Peg-billed Finch;Peg-billed Finch;ハシナガシトド;Peg-billed Finch;Wigsnavelgors;spissnebbspurv;bambusozięb ostrodzioby;Peg-billed Finch;Peg-billed Finch;Остроклювый овсяночник;pinkavka sivá;Peg-billed Finch;Spetsnäbbad tangara;Peg-billed Finch;Sivri Gagalı İspinoz;Шиферка гостродзьоба;Peg-billed Finch
Acanthis cabaret;Acanthis cabaret;;Aves;Passeriformes;True;True;Lesser Redpoll;Lesser Redpoll;čečetka tmavá;Lille Gråsisken;Alpenbirkenzeisig;Lesser Redpoll;Lesser Redpoll;Pardillo Alpino;ruskourpiainen;Sizerin cabaret;Barna zsezse;Organetto minore;イメベニヒワ;Lesser Redpoll;Kleine Barmsijs;brunsisik;czeczotka brązowa;Lesser Redpoll;Inăriță mică;Малая чечётка;stehlík hnedkavý;Mali brezovček;Brunsiska;Lesser Redpoll;Küçük Huş İsketesi;Чечітка мала;Lesser Redpoll
Acanthis flammea;Redpoll;redpol1;Aves;Passeriformes;True;True;Common Redpoll;Common Redpoll;čečetka zimní;Stor Gråsisken;Taigabirkenzeisig;Common Redpoll;Common Redpoll;Pardillo Norteño;urpiainen;Sizerin flammé;Zsezse;Organetto;ベニヒワ;홍방울새;Grote Barmsijs;gråsisik;czeczotka;Common Redpoll;Inăriță;Обыкновенная чечётка;stehlík čečetka;Brezovček;Gråsiska;Common Redpoll;Huş İsketesi;Чечітка звичайна;普通朱頂雀
Acanthis hornemanni;Acanthis hornemanni;;Aves;Passeriformes;True;True;Hoary Redpoll;Hoary Redpoll;čečetka bělavá;Hvidsisken;Polarbirkenzeisig;Hoary Redpoll;Arctic Redpoll;Pardillo Ártico;tundraurpiainen;Sizerin blanchâtre;Szürke zsezse;Hoary Redpoll;コベニヒワ;쇠홍방울새;Witstuitbarmsijs;polarsisik;czeczotka tundrowa;Hoary Redpoll;Inăriță de tundră;Пепельная чечётка;stehlík polárny;Polarni brezovček;Snösiska;Hoary Redpoll;Kutup İsketesi;Чечітка біла;Hoary Redpoll
